Year,Month,RentalNum(K),StationNum,BikeNum(K),LaneLength(km),FreePlan,Temperature,Humidity(%),Sunshine(hr),Rainfull(mm),Raindays,COVIDTaiwan(K),COVIDTaipei(K),MRTCarryNum(K),BusCarryNum(K)
106,3,1748,322,12.7,501.4,0,18.2,75,60.8,182.7,18,0,0,65799,42956.6
106,4,1948.5,332,13.1,501.4,0,22.5,66,105.6,121.5,13,0,0,61034.6,39207.5
106,5,2111,336,13.2,501.4,0,25.6,73,83.8,135.5,16,0,0,62331.4,40845.8
106,6,1675.1,354,13.8,501.4,0,28,75,83.8,649.7,16,0,0,60600,39582.7
106,7,2035,368,14.3,501.78,0,30.3,64,165.3,206.6,12,0,0,60846,38318.4
106,8,2149,380,14.6,501.78,0,31.1,64,208.3,166.2,11,0,0,63338.7,39701.7
106,9,2017.1,387,14.9,501.78,0,29.6,65,167.3,175.6,9,0,0,60251.3,39668.9
106,10,1754.1,396,15.2,501.78,0,25.6,73,101,368.6,22,0,0,61801.6,39745
106,11,1867,405,15.5,501.78,0,22.5,77,55.6,120.9,19,0,0,63034,40378.3
106,12,1785.5,410,15.6,502.39,0,17.8,74,56.4,66.9,18,0,0,69687.2,41601.1
107,1,1618.3,410,15.6,502.39,0,16.9,79,78.6,255.8,13,0,0,64501,40318.7
107,2,1147.7,410,15.6,502.39,0,15.6,79,54.5,163.6,15,0,0,54709.4,32425.1
107,3,2235.3,410,15.6,502.39,0,20.6,69,161.1,37.3,10,0,0,67358.8,42200.8
107,4,2263.8,410,15.6,502.39,0,23.5,66,115.8,59.6,9,0,0,60665.2,37850.8
107,5,2681,410,15.6,502.69,0,28.2,64,137.3,42,4,0,0,64979.3,41918.9
107,6,2410.6,410,15.6,502.69,0,28.5,69,105.7,119.8,13,0,0,61504,39197.1
107,7,2543.9,410,15.6,502.69,0,30.3,65,186.1,190.3,8,0,0,62957.7,39303.6
107,8,2408.3,410,15.6,502.69,0,29.5,70,128,186.8,19,0,0,64683.9,40291.4
107,9,2208,410,15.6,502.69,0,28.2,70,148.1,321.9,18,0,0,60868.9,39042.8
107,10,2421.8,409,15.5,502.69,0,23.3,71,103.8,125.1,19,0,0,67071.9,42749.8
107,11,2412.3,409,15.5,502.69,0,22.7,74,91,64.4,13,0,0,65606.9,41387.8
107,12,2238.2,409,15.5,502.69,0,19.5,75,91.1,54.4,16,0,0,70563.1,41706.3
108,1,2354.1,409,15.5,502.69,0,18.5,74,78,45,10,0,0,68003.2,41194.7
108,2,1957,409,15.5,502.69,0,18.8,79,55.5,64.1,9,0,0,56013.8,33003.3
108,3,2256.7,409,15.5,502.69,0,19.8,75,76.3,184.2,16,0,0,67279,41076.7
108,4,2487.4,409,15.5,503.5,0,24.2,76,105,115.1,13,0,0,63674.1,39571.2
108,5,2482.2,409,15.5,503.46,0,25,77,80.3,335.8,17,0,0,67470.9,42672.3
108,6,2246.4,409,15.5,503.46,0,28.5,77,91.4,419.5,16,0,0,62899.8,38716
108,7,2564.3,409,15.5,503.46,0,30.3,73,145.5,439.3,16,0,0,66557.8,40597.2
108,8,2443.4,409,15.5,503.79,0,30.5,72,186.8,212.4,15,0,0,65067.4,39276.3
108,9,2196.1,409,15.5,503.79,0,27.3,79,139.7,377.1,15,0,0,61917.3,38584.7
108,10,2808.1,409,15.5,503.79,0,25.3,74,159,27.1,8,0,0,68684.8,42176.2
108,11,2620.1,409,15.5,503.74,0,22,75,102.9,13.8,11,0,0,68384.8,41148.2
108,12,2388.3,409,15.5,503.74,0,19.1,77,80.8,136.2,9,0,0,73646.4,42562.6
109,1,2293.6,511,16,503.74,0,17.9,75,113.2,38.6,10,0,0,62341.8,35962.2
109,2,2377.5,511,16.1,503.74,0,18.7,72,126,29.6,8,0,0,53122.2,31101.6
109,3,2621.7,512,16.1,503.74,0,20.8,75,87.1,245.5,17,0.3,0,53320.2,34131.8
109,4,2377.7,512,16.1,503.74,0,20.9,73,93.6,87.9,15,0.1,0,45348,29829.5
109,5,2475.1,512,16.1,503.42,0,26.9,77,107.2,405.8,15,0,0,53173.5,34520.1
109,6,2655.1,512,16.1,503.42,0,30.5,68,150.6,117.9,8,0,0,55134.2,34870.4
109,7,2862.1,512,16.1,503.42,0,30.9,67,160.3,133.5,9,0,0,60458.8,36640.6
109,8,2726.1,512,16.1,503.42,0,30.2,70,193.5,322.5,13,0,0,59933.6,35926
109,9,2726.9,512,16.1,504.47,0,27.8,73,133.1,129.5,15,0,0,60712.6,37781.1
109,10,2676.3,512,16.1,504.47,0,24.5,77,83,25.5,11,0.1,0,61473.6,37480.7
109,11,2759.2,512,16.1,504.47,0,23.3,76,88,21.5,10,0.1,0,62394.4,37835.4
109,12,2089.2,512,16.1,504.47,0,18.1,88,16.9,145,24,0.1,0,68237.8,40025.3
110,1,2331.6,512,16.1,504.47,0,16,75,124.5,41,10,0.1,0,59627.9,36085.9
110,2,2250.4,512,16.1,504.47,0,19.1,74,150.6,46.5,7,0,0,49903.9,29500.1
110,3,2839.8,512,16.5,504.47,0,20.3,83,110.1,77.5,8,0.1,0,63662.1,38349.6
110,4,2764,512,16.5,504.47,0,22.4,77,133.1,60,4,0.1,0,60228.4,35750.7
110,5,1970.6,706,17.6,507.16,0,28.2,74,141.3,119.5,6,8.9,3.2,33793.7,21501.9
110,6,1147.4,791,18.8,507.16,0,29.3,74,152.4,316.5,10,4.9,1.3,13119.9,8492.9
110,7,1588.4,895,19.9,507.16,0,30.3,72,217.2,288,13,0.8,0.3,19326.3,11866.4
110,8,2099.3,979,20.2,507.16,0,28.9,79,165.6,409,17,0.3,0,31909.5,19260.3
110,9,2502.7,1056,22.3,507.83,0,29.5,72,225.4,181.5,8,0.2,0,37417.7,23683.7
110,10,2672.4,1123,23.2,507.83,0,25.7,76,124.5,245,12,0.2,0,48391.4,29137.8
110,11,2859.8,1204,23.9,507.83,0,21.2,78,64.7,70,12,0.2,0,53694.7,31953.9
110,12,2835.6,1249,23.9,509.32,0,18.3,77,83,54,9,0.5,0,60044.6,33820.3
111,1,2499,1313,24.2,509.32,0,17.2,83,47.1,122,13,1.8,0,49839.8,30020.2
111,2,1786.6,1333,24.7,509.32,0,16.4,86,31.1,252,21,1.7,0,41907.4,24457.9
111,3,3214.2,1407,23.5,509.32,0,21.1,76,128.5,197.5,11,3.2,0.1,57507,34001.2
111,4,2928.3,1459,24.2,509.32,0,22.5,75,100.9,108.5,7,120.4,22.9,43166,26228.9
111,5,2127.3,1491,24.6,509.32,0,23.4,86,48.2,486,20,1984.5,245.5,33442.1,20598.8
111,6,2626.5,1486,23.6,509.32,0,28.1,77,136.1,234.5,15,1677.5,102.4,39433.4,23669
111,7,3333.2,1506,22.3,509.32,0,30.8,70,241.2,122,10,801.2,69.2,47378,27101.5
111,8,3543.9,1527,21.6,509.32,0,30.6,68,218.1,218.5,10,737.5,80.8,50558.4,29227.7
111,9,3193.8,1557,20.6,509.32,0,27.3,74,160,256,15,1162.3,134.1,50032.7,29457.1
111,10,2844.9,1589,19.6,509.92,0,24.2,79,77.2,449.5,20,1242.3,121.5,53451.8,30781.6
111,11,3505.4,1606,19.6,509.92,0,23.6,83,102.8,119.5,5,581.7,49.4,57215,32627.6
111,12,2824.3,1249,15.6,512.58,0,16.6,82,56.6,90.5,18,543.9,54.7,63326.2,34161.2
112,1,2912.6,1253,15.6,512.58,0,17,77,88,28,10,696.8,70.3,52502.4,28065.6
112,2,3107.6,1261,15.6,512.58,0,17.5,78,68.2,37.5,7,485.7,41.3,56091,29501.6
112,3,4127.9,1286,15.6,512.58,0,20,72,151,23.5,7,185.4,16,62605.5,34645.9
112,4,3708.5,1288,15.6,512.58,0,22.6,75,111.9,109.5,9,2.9,0.3,56684.6,30971.9
112,5,3999.8,1290,17.4,516.12,0,25.8,76,136.4,182.5,13,5.7,0.7,60510.3,34322.5
112,6,3671.4,1296,17.4,516.12,0,28.8,79,136.3,482,13,7.1,0.7,54987.2,31251.9
112,7,4032.7,1302,17.4,516.38,0,30.4,73,212.3,119,13,4.2,0.4,58046.2,31870.4
112,8,3890.2,1318,17.4,516.38,0,29.7,77,185.7,459.5,16,1.7,0.2,58839.4,32584.9
112,9,4211.8,1326,17.4,516.38,0,29,77,215,153,12,1.1,0.1,58555.9,33342.7
112,10,4228.5,1329,17.4,516.38,0,25.3,80,95.3,87,10,1.2,0.1,61214.2,34153
112,11,4463,1332,17.9,516.38,0,22.4,73,155.9,17,8,1,0.1,62840.8,34722.7
112,12,4062.5,1337,18.9,516.38,0,18.8,81,87.4,89,8,1.3,0.2,67308.2,35235.1
113,1,4026.4,1341,18.9,516.38,0,16.9,76,107.1,37.5,10,2.5,0.3,62741.7,34108.2
113,2,3689.4,1348,20.9,518.27,0,18,80,110.7,43,5,2.4,0.2,54529.7,28616.4
113,3,4971.1,1397,21.9,518.27,1,19.3,77,108.9,104,12,1.6,0.1,64628.3,34973.5
